#1=α 2=act 3=ϕ 4=ϵg 5=q 
0.13 erf 1.3296526395535082 0.48757492637337285 0.055915117961396706
0.131 erf 1.328972120764178 0.487482417678415 0.05633121028375686
0.132 erf 1.3282916967644665 0.48738995528635304 0.056747089587283875
0.133 erf 1.3276113675238914 0.487297539178711 0.05716275592715393
0.134 erf 1.326931133011963 0.48720516933701463 0.05757820935863321
0.135 erf 1.3262509931981843 0.4871128457427918 0.05799344993707769
0.136 erf 1.3255709480520501 0.4870205683775719 0.05840847771793316
0.137 erf 1.3248909975430485 0.4869283372228865 0.05882329275673486
0.138 erf 1.32421114164066 0.4868361522602685 0.05923789510910752
0.139 erf 1.3235313803143574 0.486744013471253 0.059652284830765165
0.14 erf 1.322851713533606 0.48665192083737674 0.060066461977510886
0.141 erf 1.3221721412678642 0.4865598743401782 0.060480426605236774
0.142 erf 1.321492663486583 0.4864678739611976 0.06089417876992387
0.143 erf 1.3208132801592052 0.4863759196819771 0.06130771852764176
0.144 erf 1.3201339912551677 0.48628401148406025 0.06172104593454868
0.145 erf 1.3194547967438992 0.4861921493489927 0.062134161046891276
0.146 erf 1.3187756965948214 0.4861003332583215 0.06254706392100441
0.147 erf 1.3180966907773486 0.48600856319359576 0.0629597546133111
0.148 erf 1.3174177792608888 0.48591683913636596 0.06337223318032234
0.149 erf 1.3167389620148415 0.4858251610681843 0.06378449967863696
0.15 erf 1.3160602390085998 0.48573352897060496 0.06419655416494141
0.151 erf 1.3153816102115496 0.48564194282518336 0.06460839669600979
0.152 erf 1.31470307559307 0.48555040261347693 0.06502002732870352
0.153 erf 1.3140246351225326 0.4854589083170446 0.06543144611997126
0.154 erf 1.3133462887693024 0.48536745991744673 0.06584265312684882
0.155 erf 1.312668036502737 0.4852760573962458 0.06625364840645898
0.156 erf 1.311989878292187 0.4851847007350054 0.06666443201601126
0.157 erf 1.3113118141069964 0.48509338991529105 0.06707500401280192
0.158 erf 1.3106338439165022 0.4850021249186698 0.06748536445421366
0.159 erf 1.3099559676900339 0.48491090572671 0.06789551339771568
0.16 erf 1.3092781853969158 0.484819732320982 0.06830545090086329
0.161 erf 1.3086004970064629 0.48472860468305756 0.06871517702129795
0.162 erf 1.3079229024879855 0.48463752279450995 0.069124691816747
0.163 erf 1.307245401810786 0.4845464866369139 0.06953399534502366
0.164 erf 1.3065679949441606 0.48445549619184597 0.06994308766402677
0.165 erf 1.305890681857398 0.48436455144088386 0.07035196883174058
0.166 erf 1.3052134625197815 0.48427365236560715 0.07076063890623471
0.167 erf 1.3045363369005862 0.48418279894759675 0.07116909794566416
0.168 erf 1.3038593049690816 0.484091991168435 0.07157734600826879
0.169 erf 1.3031823666945301 0.484001229009706 0.07198538315237346
0.17 erf 1.3025055220461879 0.48391051245299493 0.07239320943638775
0.171 erf 1.3018287709933036 0.483819841479889 0.07280082491880593
0.172 erf 1.3011521135051205 0.4837292160719763 0.0732082296582067
