#1=α 2=act 3=ϕ 4=ϵg 5=q 
0.0001 erf 1.418899372375249 0.2541035141270175 3.096753823114652e-5
0.0002 erf 1.4188602119189837 0.2541017362437211 4.951568972079178e-5
0.0003 erf 1.4188210518410227 0.2540990312821527 7.773559179793596e-5
0.0004 erf 1.4187818921341833 0.25409640216108725 0.00010516405279174573
0.0005 erf 1.4187427328001139 0.2540937829263844 0.0001324891540305392
0.0006 erf 1.4187035738389917 0.2540911650312848 0.00015980006073709128
0.0007 erf 1.4186644152508316 0.25408854736828307 0.0001871083269992377
0.0008 erf 1.4186252570356281 0.2540859297938613 0.00021441545004139803
0.0009 erf 1.418586099193373 0.2540833122894103 0.00024172162397656375
0.001 erf 1.418546941704118 0.2540793649641046 0.0002829002612442921
0.002 erf 1.418155387520629 0.25405507718204023 0.0005362602851465397
0.003 erf 1.4177638706216444 0.2540289142394309 0.0008091600457769806
0.004 erf 1.4173723909985518 0.2540027565090403 0.0010819834631426012
0.005 erf 1.416980948642669 0.2539766053992002 0.001354715823318656
0.006 erf 1.4165895435454048 0.253950460943982 0.0016273567477454304
0.007 erf 1.4161981756981927 0.253924323129672 0.0018999063563082223
0.008 erf 1.415806845092487 0.2538981919409235 0.0021723647859462156
0.009 erf 1.4154155517192748 0.253872076854437 0.002444633216273166
0.01 erf 1.4150242955710135 0.2538459591966437 0.002716906309994632
0.011 erf 1.4146330766387654 0.25381984779734984 0.0029890919825153106
0.012 erf 1.4142418949140534 0.25379374295106716 0.0032611871404772054
0.013 erf 1.4138507503884368 0.2537676446533812 0.0035331918069705613
0.014 erf 1.4134596430534963 0.2537415528894415 0.003805106113898803
0.015 erf 1.4130685729008334 0.25371546764406067 0.004076930196700384
0.016 erf 1.4126775399220715 0.25368938890206744 0.004348664190666444
0.017 erf 1.4122865441088532 0.2536633166483192 0.004620308230812817
0.018 erf 1.4118955854528437 0.2536372508677021 0.004891862451876311
0.019 erf 1.4115046639457272 0.2536111915451315 0.005163326988315309
0.02 erf 1.4111137795792101 0.25358513866555077 0.005434701974310516
0.021 erf 1.4107229323450188 0.2535590922139323 0.005705987543765753
0.022 erf 1.4103321222349001 0.25353305217527744 0.00597718383030869
0.023 erf 1.4099413492401316 0.25350702803823916 0.006248192003292121
0.024 erf 1.4095506133534657 0.25348100110788196 0.006519206724515951
0.025 erf 1.4091599145662543 0.25345498022353613 0.006790135916469585
0.026 erf 1.4087692528703104 0.2534289656811533 0.007060976474809525
0.027 erf 1.408378628257484 0.2534029574767825 0.00733172841823221
0.028 erf 1.4079880407196443 0.25337695559597645 0.007602391874742703
0.029 erf 1.4075974902486827 0.2533509600239469 0.007872966975917634
0.03 erf 1.4072069768365103 0.253324970745921 0.008143453853198186
0.031 erf 1.4068165004750577 0.2532989877471525 0.008413852637760816
0.032 erf 1.4064260611562773 0.25327301101292327 0.008684163460513497
0.033 erf 1.4060356588721403 0.25324704052854297 0.00895438645209626
0.034 erf 1.4056452936146393 0.25322107627934853 0.009224521742881879
0.035 erf 1.4052549653757862 0.2531951182507046 0.009494569462976712
0.036 erf 1.404864674147613 0.2531691664280029 0.00976452974222128
0.037 erf 1.40447441992168 0.2531432303142288 0.010034303717623655
0.038 erf 1.4040842026910283 0.2531172911884248 0.010304086093228866
0.039 erf 1.4036940224472907 0.2530913579015298 0.01057378477935331
0.04 erf 1.4033038791825638 0.2530654307510569 0.010843396659498518
0.041 erf 1.4029137728889798 0.25303950973350897 0.01111292174804339
0.042 erf 1.4025237035586904 0.25301359483482644 0.011382360169236763
0.043 erf 1.4021336711838681 0.25298768604060456 0.011651712050938245
0.044 erf 1.4017436757567052 0.2529617833364519 0.011920977520883448
0.045 erf 1.4013537172694133 0.2529358867080035 0.012190156706553395
0.046 erf 1.4009637957142238 0.2529099961409209 0.01245924973517058
0.047 erf 1.4005739110833886 0.2528841116208924 0.012728256733699523
0.048 erf 1.400184063369178 0.25285823313363265 0.012997177828847493
0.049 erf 1.3997942525638833 0.2528323606648825 0.013266013147065164
0.05 erf 1.3994044786598145 0.25280649420040935 0.013534762814547267
0.051 erf 1.3990147416493022 0.25278063372600695 0.013803426957233349
0.052 erf 1.3986250415242005 0.2527547887554627 0.014071906727760175
0.053 erf 1.3982353782778507 0.2527289405486634 0.0143403967788866
0.054 erf 1.3978457519021807 0.25270309796507423 0.014608805051257452
0.055 erf 1.397456162389582 0.2526772613035691 0.014877128418688627
0.056 erf 1.3970666097324815 0.2526514305611046 0.015145366891256024
0.057 erf 1.396677093923326 0.25262560572401876 0.015413520589345142
0.058 erf 1.396287614954581 0.2525997867783006 0.015681589636986248
0.059 erf 1.3958981728187325 0.2525739737099512 0.015949574158096884
0.06 erf 1.395508767508285 0.2525481665049968 0.01621747427635028
0.061 erf 1.3951193990157622 0.25252236514948945 0.016485290115171424
0.062 erf 1.394730067333707 0.2524965696295064 0.016753021797737366
0.063 erf 1.3943407724546821 0.25247077993114986 0.017020669446978047
0.064 erf 1.3939515143712686 0.2524449960405483 0.017288233185576873
0.065 erf 1.3935622930760674 0.2524192179438546 0.017555713135971356
0.066 erf 1.3931731085616976 0.25239344562724686 0.01782310942035387
0.067 erf 1.3927839608203019 0.2523676886179043 0.018090323183076188
0.068 erf 1.3923948498455128 0.2523419281514887 0.018357549072365295
0.069 erf 1.3920057756295456 0.2523161730982655 0.018624695038314466
0.07 erf 1.3916167381650788 0.25229042375859995 0.01889175794378195
0.071 erf 1.3912277374448263 0.25226468012989356 0.019158737794616396
0.072 erf 1.3908387734615217 0.2522389421988659 0.019425634707487004
